dataset,seed,base_explainer,users,paired_valid_users,base_validity,vapc_validity,validity_delta,base_no_cf_found,vapc_no_cf_found,no_cf_found_delta,cf_pce_improvement,abs_sps_improvement,mean_minimality_gap,median_minimality_gap,repair_changed_rate,win,tie,loss
AmazonBooksDense_u3000_i1500,0,loo,74,52,0.7027027027027027,0.7027027027027027,0.0,0.2972972972972973,0.2972972972972973,0.0,0.0414987746897134,0.0450313007954708,0.8653846153846154,1.0,0.6081081081081081,30,7,15
AmazonBooksDense_u3000_i1500,1,loo,74,40,0.5405405405405406,0.5405405405405406,0.0,0.4594594594594595,0.4594594594594595,0.0,0.0411952174176744,0.0354779976967477,0.725,1.0,0.3918918918918919,20,12,8
AmazonBooksDense_u3000_i1500,2,loo,74,69,0.9324324324324323,0.9324324324324323,0.0,0.0675675675675675,0.0675675675675675,0.0,0.0330251152644894,0.0477867525892982,0.927536231884058,1.0,0.8648648648648649,36,9,24
AmazonBooksDense_u3000_i1500,0,lxr,74,42,0.5675675675675675,0.5675675675675675,0.0,0.4324324324324324,0.4324324324324324,0.0,0.0126538855247376,0.013868240225383,0.8571428571428571,1.0,0.4864864864864865,16,7,19
AmazonBooksDense_u3000_i1500,1,lxr,74,33,0.4459459459459459,0.4459459459459459,0.0,0.5540540540540541,0.5540540540540541,0.0,0.0132853113532744,0.0119666353980079,0.4545454545454545,0.0,0.2027027027027027,10,19,4
AmazonBooksDense_u3000_i1500,2,lxr,74,52,0.7027027027027027,0.7027027027027027,0.0,0.2972972972972973,0.2972972972972973,0.0,0.0472653259756741,0.0542131985143713,0.8076923076923077,1.0,0.5675675675675675,27,11,14
ML1M,0,loo,30,19,0.6333333333333333,0.6333333333333333,0.0,0.3666666666666666,0.3666666666666666,0.0,0.0571829543603151,0.0792850349239778,0.7894736842105263,1.0,0.5,11,4,4
ML1M,1,loo,30,18,0.6,0.6,0.0,0.4,0.4,0.0,0.0486585137280604,0.0673897134510987,0.8888888888888888,1.0,0.5333333333333333,11,2,5
ML1M,2,loo,30,22,0.7333333333333333,0.7333333333333333,0.0,0.2666666666666666,0.2666666666666666,0.0,0.0818535098806535,0.1086991116202225,0.8181818181818182,1.0,0.6,12,4,6
ML1M,0,lxr,30,10,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0812505882697196,0.0812505882200491,0.9,1.0,0.3,8,1,1
ML1M,1,lxr,30,15,0.5,0.5,0.0,0.5,0.5,0.0,0.0345107212700866,0.0385511255754001,0.9333333333333332,1.0,0.4666666666666667,9,1,5
ML1M,2,lxr,30,16,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667,0.4666666666666667,0.0,0.0075601837431746,0.0075601839604831,0.8125,1.0,0.4333333333333333,5,3,8
YelpDense_u2000_i1000,0,loo,100,27,0.27,0.27,0.0,0.73,0.73,0.0,0.0147198686384043,0.0197301565877368,0.6296296296296297,1.0,0.17,12,10,5
YelpDense_u2000_i1000,1,loo,100,34,0.34,0.34,0.0,0.66,0.66,0.0,0.0159190363940362,0.0254863067788764,0.7941176470588235,1.0,0.27,16,7,11
YelpDense_u2000_i1000,2,loo,100,34,0.34,0.34,0.0,0.66,0.66,0.0,0.0354712308071171,0.0364658007374981,0.7941176470588235,1.0,0.27,18,8,8
YelpDense_u2000_i1000,0,lxr,100,26,0.26,0.26,0.0,0.74,0.74,0.0,0.0273954983993539,0.0355231911962681,0.5769230769230769,1.0,0.15,8,11,7
YelpDense_u2000_i1000,1,lxr,100,20,0.2,0.2,0.0,0.8,0.8,0.0,0.0037554099308635,0.0076704545454545,0.55,1.0,0.11,4,10,6
YelpDense_u2000_i1000,2,lxr,100,28,0.28,0.28,0.0,0.72,0.72,0.0,0.0376128663736924,0.0533876663575911,0.7857142857142857,1.0,0.22,14,6,8
