dataset,seed,explainer,segment,users,validity,no_cf_found_rate,mean_cf_pce,mean_sps,history_pop_median
AmazonBooksDense_u3000_i1500,0,loo,mainstream,35,0.6857142857142857,0.3142857142857143,0.2787148253981086,0.27764252004851203,0.8099928634507315
AmazonBooksDense_u3000_i1500,1,loo,mainstream,36,0.5,0.5,0.23072879496451604,0.2085858894192227,0.8030771679348416
AmazonBooksDense_u3000_i1500,2,loo,mainstream,36,0.9722222222222222,0.027777777777777776,0.2484864514653235,0.19395002892398605,0.8030771679348416
AmazonBooksDense_u3000_i1500,0,loo,niche,39,0.717948717948718,0.28205128205128205,0.323318187792193,0.3233181862488585,0.384102925658226
AmazonBooksDense_u3000_i1500,1,loo,niche,38,0.5789473684210527,0.42105263157894735,0.3768860449700864,0.37688604324967956,0.37944700725768743
AmazonBooksDense_u3000_i1500,2,loo,niche,38,0.8947368421052632,0.10526315789473684,0.3005706282264156,0.2882002405750357,0.37944700725768743
AmazonBooksDense_u3000_i1500,0,lxr,mainstream,35,0.6285714285714286,0.37142857142857144,0.16904778917999502,0.1306172158946223,0.8099928634507315
AmazonBooksDense_u3000_i1500,1,lxr,mainstream,36,0.4166666666666667,0.5833333333333334,0.23355506347227245,0.21323371200331978,0.8030771679348416
AmazonBooksDense_u3000_i1500,2,lxr,mainstream,36,0.6944444444444444,0.3055555555555556,0.24148194599455633,0.1709455282876665,0.8030771679348416
AmazonBooksDense_u3000_i1500,0,lxr,niche,39,0.5128205128205128,0.48717948717948717,0.20523106110276595,0.13156944444444443,0.384102925658226
AmazonBooksDense_u3000_i1500,1,lxr,niche,38,0.47368421052631576,0.5263157894736842,0.21021640406758466,0.18497369914036577,0.37944700725768743
AmazonBooksDense_u3000_i1500,2,lxr,niche,38,0.7105263157894737,0.2894736842105263,0.2374228495628875,0.19919620067022883,0.37944700725768743
