dataset,seed,explainer,segment,users,validity,no_cf_found_rate,mean_cf_pce,mean_sps,history_pop_median
YelpDense_u2000_i1000,0,loo,mainstream,49,0.22448979591836735,0.7755102040816326,0.2247560362711342,0.07364392988125237,0.6983520485916916
YelpDense_u2000_i1000,1,loo,mainstream,48,0.25,0.75,0.19466269804844774,0.1595464489214489,0.7095312575499216
YelpDense_u2000_i1000,2,loo,mainstream,49,0.32653061224489793,0.673469387755102,0.3016249857626478,0.23703228537726892,0.6871479664530072
YelpDense_u2000_i1000,0,loo,niche,51,0.3137254901960784,0.6862745098039216,0.25173127287687724,0.2395784934020228,0.3824901954070026
YelpDense_u2000_i1000,1,loo,niche,52,0.4230769230769231,0.5769230769230769,0.24321177075594022,0.21912151677402864,0.41262019382646453
YelpDense_u2000_i1000,2,loo,niche,51,0.35294117647058826,0.6470588235294118,0.25780385027937497,0.24126009915873028,0.325715684532827
YelpDense_u2000_i1000,0,lxr,mainstream,49,0.20408163265306123,0.7959183673469388,0.1906233220968636,0.18477716727716725,0.6983520485916916
YelpDense_u2000_i1000,1,lxr,mainstream,48,0.08333333333333333,0.9166666666666666,0.19253823858622085,-0.02264935064935067,0.7095312575499216
YelpDense_u2000_i1000,2,lxr,mainstream,49,0.2857142857142857,0.7142857142857143,0.27105524577812684,0.188133167479972,0.6871479664530072
YelpDense_u2000_i1000,0,lxr,niche,51,0.3137254901960784,0.6862745098039216,0.21811289767044648,0.15387347819091235,0.3824901954070026
YelpDense_u2000_i1000,1,lxr,niche,52,0.3076923076923077,0.6923076923076923,0.15749977323959052,0.08836737914862915,0.41262019382646453
YelpDense_u2000_i1000,2,lxr,niche,51,0.27450980392156865,0.7254901960784313,0.18555875317936987,0.058183615326472475,0.325715684532827
