dataset,seed,explainer,segment,users,validity,no_cf_found_rate,mean_cf_pce,mean_sps,history_pop_median
Amazon-M20S10,0,grad_input_base,mainstream,86,0.8372093023255814,0.16279069767441862,0.18727522675450997,0.04514224475037879,0.7122267730707346
Amazon-M20S10,1,grad_input_base,mainstream,86,0.6976744186046512,0.3023255813953488,0.3400234767380142,0.3046914811682253,0.7122267730707346
Amazon-M20S10,2,grad_input_base,mainstream,84,0.8333333333333334,0.16666666666666666,0.22418165662470566,0.16685597983649372,0.715025282686665
Amazon-M20S10,0,grad_input_base,niche,91,0.7912087912087912,0.2087912087912088,0.21485195259141504,0.13887569492969537,0.4632506735704757
Amazon-M20S10,1,grad_input_base,niche,91,0.4065934065934066,0.5934065934065934,0.35597844399384243,0.3193296126919637,0.4632506735704757
Amazon-M20S10,2,grad_input_base,niche,93,0.7204301075268817,0.27956989247311825,0.25032257852969586,0.22694242685244756,0.46607731218620013
Amazon-M20S10,0,grad_input_vapc,mainstream,86,0.8372093023255814,0.16279069767441862,0.1524675656491693,0.04575074003646359,0.7122267730707346
Amazon-M20S10,1,grad_input_vapc,mainstream,86,0.6976744186046512,0.3023255813953488,0.28571020067643027,0.2450716042795795,0.7122267730707346
Amazon-M20S10,2,grad_input_vapc,mainstream,84,0.8333333333333334,0.16666666666666666,0.18783789656687416,0.1566847776248772,0.715025282686665
Amazon-M20S10,0,grad_input_vapc,niche,91,0.7912087912087912,0.2087912087912088,0.1746681195814591,0.1024986241710728,0.4632506735704757
Amazon-M20S10,1,grad_input_vapc,niche,91,0.4065934065934066,0.5934065934065934,0.3123216544843778,0.28752967867243306,0.4632506735704757
Amazon-M20S10,2,grad_input_vapc,niche,93,0.7204301075268817,0.27956989247311825,0.20645317148240272,0.17980091301285406,0.46607731218620013
Amazon-M20S10,0,loo_base,mainstream,86,0.8372093023255814,0.16279069767441862,0.18463830208699156,0.050351922565534155,0.7122267730707346
Amazon-M20S10,1,loo_base,mainstream,86,0.6976744186046512,0.3023255813953488,0.3380168561263931,0.3031951932371548,0.7122267730707346
Amazon-M20S10,2,loo_base,mainstream,84,0.8333333333333334,0.16666666666666666,0.2377728697037605,0.18557363779839464,0.715025282686665
Amazon-M20S10,0,loo_base,niche,91,0.8021978021978022,0.1978021978021978,0.21009868135345486,0.1327635602626197,0.4632506735704757
Amazon-M20S10,1,loo_base,niche,91,0.4065934065934066,0.5934065934065934,0.3550366859092272,0.3272783777835859,0.4632506735704757
Amazon-M20S10,2,loo_base,niche,93,0.7096774193548387,0.2903225806451613,0.2523093161386966,0.2286795372929915,0.46607731218620013
Amazon-M20S10,0,loo_vapc,mainstream,86,0.8372093023255814,0.16279069767441862,0.14605716841650634,0.046383387173158055,0.7122267730707346
Amazon-M20S10,1,loo_vapc,mainstream,86,0.6976744186046512,0.3023255813953488,0.2913941618956456,0.2502596127284575,0.7122267730707346
Amazon-M20S10,2,loo_vapc,mainstream,84,0.8333333333333334,0.16666666666666666,0.19941891416025626,0.1685644431179067,0.715025282686665
Amazon-M20S10,0,loo_vapc,niche,91,0.8021978021978022,0.1978021978021978,0.17473864169883982,0.10964688417086282,0.4632506735704757
Amazon-M20S10,1,loo_vapc,niche,91,0.4065934065934066,0.5934065934065934,0.3121604391645804,0.28614983400900634,0.4632506735704757
Amazon-M20S10,2,loo_vapc,niche,93,0.7096774193548387,0.2903225806451613,0.20490464084564286,0.17766278534875532,0.46607731218620013
Amazon-M20S10,0,lxr_base,mainstream,86,0.627906976744186,0.37209302325581395,0.16405386973554026,0.12201704457739099,0.7122267730707346
Amazon-M20S10,1,lxr_base,mainstream,86,0.5465116279069767,0.45348837209302323,0.23567607414529493,0.22250476071779066,0.7122267730707346
Amazon-M20S10,2,lxr_base,mainstream,84,0.6666666666666666,0.3333333333333333,0.20877304503116306,0.1853571509381556,0.715025282686665
Amazon-M20S10,0,lxr_base,niche,91,0.6483516483516484,0.3516483516483517,0.17886008968145453,0.16059182413860676,0.4632506735704757
Amazon-M20S10,1,lxr_base,niche,91,0.3516483516483517,0.6483516483516484,0.2895376866988127,0.2856158154479712,0.4632506735704757
Amazon-M20S10,2,lxr_base,niche,93,0.5591397849462365,0.44086021505376344,0.20535851620432147,0.1913119531480714,0.46607731218620013
Amazon-M20S10,0,lxr_vapc,mainstream,86,0.627906976744186,0.37209302325581395,0.1423917629066871,0.10273596552786238,0.7122267730707346
Amazon-M20S10,1,lxr_vapc,mainstream,86,0.5465116279069767,0.45348837209302323,0.18657247181512224,0.17330141837873114,0.7122267730707346
Amazon-M20S10,2,lxr_vapc,mainstream,84,0.6666666666666666,0.3333333333333333,0.18857692516501906,0.1700532918938533,0.715025282686665
Amazon-M20S10,0,lxr_vapc,niche,91,0.6483516483516484,0.3516483516483517,0.1605836221932346,0.13137727672634458,0.4632506735704757
Amazon-M20S10,1,lxr_vapc,niche,91,0.3516483516483517,0.6483516483516484,0.24447293979389345,0.2326536593382792,0.4632506735704757
Amazon-M20S10,2,lxr_vapc,niche,93,0.5591397849462365,0.44086021505376344,0.18919821619153626,0.17594645568447384,0.46607731218620013
Amazon-M20S10,0,mc_shapley_base,mainstream,86,0.8255813953488372,0.1744186046511628,0.19129923942618973,0.05065696312791947,0.7122267730707346
Amazon-M20S10,1,mc_shapley_base,mainstream,86,0.686046511627907,0.313953488372093,0.3021419379250544,0.2469945696619132,0.7122267730707346
Amazon-M20S10,2,mc_shapley_base,mainstream,84,0.8214285714285714,0.17857142857142858,0.20248709936039358,0.12550117783261097,0.715025282686665
