dataset,explainer,segment,users/seed,Validity,No-CF-found,CF-PCE,SPS,Hist Pop Median
Amazon-M20S10,grad_input_base,mainstream,85.3,0.7894 ± 0.0795,0.2106 ± 0.0795,0.2505 ± 0.0797,0.1722 ± 0.1299,0.7132
Amazon-M20S10,grad_input_base,niche,91.7,0.6394 ± 0.2047,0.3606 ± 0.2047,0.2737 ± 0.0734,0.2284 ± 0.0902,0.4642
Amazon-M20S10,grad_input_vapc,mainstream,85.3,0.7894 ± 0.0795,0.2106 ± 0.0795,0.2087 ± 0.0690,0.1492 ± 0.0999,0.7132
Amazon-M20S10,grad_input_vapc,niche,91.7,0.6394 ± 0.2047,0.3606 ± 0.2047,0.2311 ± 0.0721,0.1899 ± 0.0929,0.4642
Amazon-M20S10,loo_base,mainstream,85.3,0.7894 ± 0.0795,0.2106 ± 0.0795,0.2535 ± 0.0779,0.1797 ± 0.1265,0.7132
Amazon-M20S10,loo_base,niche,91.7,0.6395 ± 0.2069,0.3605 ± 0.2069,0.2725 ± 0.0745,0.2296 ± 0.0973,0.4642
Amazon-M20S10,loo_vapc,mainstream,85.3,0.7894 ± 0.0795,0.2106 ± 0.0795,0.2123 ± 0.0735,0.1551 ± 0.1026,0.7132
Amazon-M20S10,loo_vapc,niche,91.7,0.6395 ± 0.2069,0.3605 ± 0.2069,0.2306 ± 0.0722,0.1912 ± 0.0890,0.4642
Amazon-M20S10,lxr_base,mainstream,85.3,0.6137 ± 0.0613,0.3863 ± 0.0613,0.2028 ± 0.0362,0.1766 ± 0.0508,0.7132
Amazon-M20S10,lxr_base,niche,91.7,0.5197 ± 0.1522,0.4803 ± 0.1522,0.2246 ± 0.0578,0.2125 ± 0.0652,0.4642
Amazon-M20S10,lxr_vapc,mainstream,85.3,0.6137 ± 0.0613,0.3863 ± 0.0613,0.1725 ± 0.0261,0.1487 ± 0.0398,0.7132
Amazon-M20S10,lxr_vapc,niche,91.7,0.5197 ± 0.1522,0.4803 ± 0.1522,0.1981 ± 0.0426,0.1800 ± 0.0508,0.4642
Amazon-M20S10,mc_shapley_base,mainstream,85.3,0.7777 ± 0.0794,0.2223 ± 0.0794,0.2320 ± 0.0610,0.1411 ± 0.0991,0.7132
Amazon-M20S10,mc_shapley_base,niche,91.7,0.6141 ± 0.1737,0.3859 ± 0.1737,0.2509 ± 0.0722,0.2088 ± 0.0902,0.4642
Amazon-M20S10,mc_shapley_vapc,mainstream,85.3,0.7777 ± 0.0794,0.2223 ± 0.0794,0.2009 ± 0.0544,0.1430 ± 0.0683,0.7132
Amazon-M20S10,mc_shapley_vapc,niche,91.7,0.6141 ± 0.1737,0.3859 ± 0.1737,0.2132 ± 0.0465,0.1673 ± 0.0762,0.4642
