dataset,seed,explainer,segment,users,validity,no_cf_found_rate,mean_cf_pce,mean_sps,history_pop_median
ML1M-M20S10,0,grad_input_base,mainstream,49,0.8775510204081632,0.12244897959183673,0.3151618038508409,0.2800198867894342,0.9549161317397137
ML1M-M20S10,1,grad_input_base,mainstream,49,0.8979591836734694,0.10204081632653061,0.32338964540271314,0.23573240861235234,0.9496812893419849
ML1M-M20S10,2,grad_input_base,mainstream,49,0.8775510204081632,0.12244897959183673,0.35947245873776107,0.31690127506645965,0.9519372935197792
ML1M-M20S10,0,grad_input_base,niche,51,0.803921568627451,0.19607843137254902,0.2310834065956581,0.2045874387996795,0.8958351436783286
ML1M-M20S10,1,grad_input_base,niche,51,0.7254901960784313,0.27450980392156865,0.2574517475777843,0.13419551054848833,0.8721010147356519
ML1M-M20S10,2,grad_input_base,niche,51,0.803921568627451,0.19607843137254902,0.2961351554382513,0.15206188443158547,0.878273045315462
ML1M-M20S10,0,grad_input_vapc,mainstream,49,0.8775510204081632,0.12244897959183673,0.2616925895258009,0.23374749173198575,0.9549161317397137
ML1M-M20S10,1,grad_input_vapc,mainstream,49,0.8979591836734694,0.10204081632653061,0.2945317877419689,0.2080349254900428,0.9496812893419849
ML1M-M20S10,2,grad_input_vapc,mainstream,49,0.8775510204081632,0.12244897959183673,0.29949398395724325,0.2532580304313868,0.9519372935197792
ML1M-M20S10,0,grad_input_vapc,niche,51,0.803921568627451,0.19607843137254902,0.19884748875475283,0.1703638938796133,0.8958351436783286
ML1M-M20S10,1,grad_input_vapc,niche,51,0.7254901960784313,0.27450980392156865,0.19590102931346245,0.11984817363755221,0.8721010147356519
ML1M-M20S10,2,grad_input_vapc,niche,51,0.803921568627451,0.19607843137254902,0.24277437355948958,0.09748356336112916,0.878273045315462
ML1M-M20S10,0,loo_base,mainstream,49,0.8775510204081632,0.12244897959183673,0.3151618038508409,0.2800198867894342,0.9549161317397137
ML1M-M20S10,1,loo_base,mainstream,49,0.8979591836734694,0.10204081632653061,0.32338964540271314,0.23573240861235234,0.9496812893419849
ML1M-M20S10,2,loo_base,mainstream,49,0.8775510204081632,0.12244897959183673,0.35947245873776107,0.31690127506645965,0.9519372935197792
ML1M-M20S10,0,loo_base,niche,51,0.803921568627451,0.19607843137254902,0.23351887555676168,0.2070229077607831,0.8958351436783286
ML1M-M20S10,1,loo_base,niche,51,0.7254901960784313,0.27450980392156865,0.2574517475777843,0.13419551054848833,0.8721010147356519
ML1M-M20S10,2,loo_base,niche,51,0.803921568627451,0.19607843137254902,0.29730934792341945,0.14913670315274563,0.878273045315462
ML1M-M20S10,0,loo_vapc,mainstream,49,0.8775510204081632,0.12244897959183673,0.2616925895258009,0.23374749173198575,0.9549161317397137
ML1M-M20S10,1,loo_vapc,mainstream,49,0.8979591836734694,0.10204081632653061,0.2945317877419689,0.2080349254900428,0.9496812893419849
ML1M-M20S10,2,loo_vapc,mainstream,49,0.8775510204081632,0.12244897959183673,0.29949398395724325,0.2532580304313868,0.9519372935197792
ML1M-M20S10,0,loo_vapc,niche,51,0.803921568627451,0.19607843137254902,0.19884748875475283,0.1703638938796133,0.8958351436783286
ML1M-M20S10,1,loo_vapc,niche,51,0.7254901960784313,0.27450980392156865,0.19590102931346245,0.11984817363755221,0.8721010147356519
ML1M-M20S10,2,loo_vapc,niche,51,0.803921568627451,0.19607843137254902,0.24411030241173587,0.09614763450888289,0.878273045315462
ML1M-M20S10,0,lxr_base,mainstream,49,0.6122448979591837,0.3877551020408163,0.39202590139613464,0.38827210027185716,0.9549161317397137
ML1M-M20S10,1,lxr_base,mainstream,49,0.7346938775510204,0.2653061224489796,0.2866139494859275,0.280183434009373,0.9496812893419849
ML1M-M20S10,2,lxr_base,mainstream,49,0.7551020408163265,0.24489795918367346,0.36828821807734097,0.3678203713224005,0.9519372935197792
ML1M-M20S10,0,lxr_base,niche,51,0.6078431372549019,0.39215686274509803,0.28781608799948977,0.28285364241072153,0.8958351436783286
ML1M-M20S10,1,lxr_base,niche,51,0.49019607843137253,0.5098039215686274,0.28356341516915523,0.27910689210182904,0.8721010147356519
ML1M-M20S10,2,lxr_base,niche,51,0.5882352941176471,0.4117647058823529,0.3654435497455062,0.3516281655566267,0.878273045315462
ML1M-M20S10,0,lxr_vapc,mainstream,49,0.6122448979591837,0.3877551020408163,0.337953350860268,0.33034692069571747,0.9549161317397137
ML1M-M20S10,1,lxr_vapc,mainstream,49,0.7346938775510204,0.2653061224489796,0.2815247031302916,0.2747345774787339,0.9496812893419849
ML1M-M20S10,2,lxr_vapc,mainstream,49,0.7551020408163265,0.24489795918367346,0.35369113181689216,0.35357009716351556,0.9519372935197792
ML1M-M20S10,0,lxr_vapc,niche,51,0.6078431372549019,0.39215686274509803,0.27882787471355996,0.27624088365844574,0.8958351436783286
ML1M-M20S10,1,lxr_vapc,niche,51,0.49019607843137253,0.5098039215686274,0.25780883762235113,0.2540622170350344,0.8721010147356519
ML1M-M20S10,2,lxr_vapc,niche,51,0.5882352941176471,0.4117647058823529,0.33488943188974074,0.33230215265024216,0.878273045315462
ML1M-M20S10,0,mc_shapley_base,mainstream,49,0.8775510204081632,0.12244897959183673,0.3220434066704331,0.2795758217062246,0.9549161317397137
ML1M-M20S10,1,mc_shapley_base,mainstream,49,0.8979591836734694,0.10204081632653061,0.32491153887424,0.23485269139997786,0.9496812893419849
ML1M-M20S10,2,mc_shapley_base,mainstream,49,0.8775510204081632,0.12244897959183673,0.3618958604591767,0.33680834816061944,0.9519372935197792
ML1M-M20S10,0,mc_shapley_base,niche,51,0.7647058823529411,0.23529411764705882,0.2288001544780244,0.18597061824553224,0.8958351436783286
ML1M-M20S10,1,mc_shapley_base,niche,51,0.7254901960784313,0.27450980392156865,0.260608360374995,0.13231417004887136,0.8721010147356519
ML1M-M20S10,2,mc_shapley_base,niche,51,0.803921568627451,0.19607843137254902,0.27748802799299166,0.13456018311464002,0.878273045315462
ML1M-M20S10,0,mc_shapley_vapc,mainstream,49,0.8775510204081632,0.12244897959183673,0.25919764989048416,0.23089760281813534,0.9549161317397137
ML1M-M20S10,1,mc_shapley_vapc,mainstream,49,0.8979591836734694,0.10204081632653061,0.2874511959922072,0.22368859420016377,0.9496812893419849
ML1M-M20S10,2,mc_shapley_vapc,mainstream,49,0.8775510204081632,0.12244897959183673,0.29391745789707263,0.24829841308529224,0.9519372935197792
ML1M-M20S10,0,mc_shapley_vapc,niche,51,0.7647058823529411,0.23529411764705882,0.19973620820977986,0.1606824790853448,0.8958351436783286
ML1M-M20S10,1,mc_shapley_vapc,niche,51,0.7254901960784313,0.27450980392156865,0.19636018907631153,0.10171449822128018,0.8721010147356519
ML1M-M20S10,2,mc_shapley_vapc,niche,51,0.803921568627451,0.19607843137254902,0.24099587751530524,0.1036239300799974,0.878273045315462
