dataset,seed,explainer,hr10,hr50,hr100,mrr,mpr,validity,no_cf_found_rate,mean_explanation_size,mean_score_drop,mean_cf_pce,mean_sps
ML1M-M20S10,0,grad_input_base,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.84,0.16,3.892857142857143,0.06761084851764497,0.2741235385239064,0.24320166812776828
ML1M-M20S10,1,grad_input_base,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.81,0.19,3.123456790123457,0.05225199019467389,0.29326986491478263,0.1893513564103404
ML1M-M20S10,2,grad_input_base,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.84,0.16,2.9642857142857144,0.05958582177048638,0.3285578226034766,0.23644395344705676
ML1M-M20S10,0,grad_input_vapc,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.84,0.16,4.821428571428571,0.08309182666596912,0.23101819510183697,0.20281025944689918
ML1M-M20S10,1,grad_input_vapc,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.81,0.19,4.037037037037037,0.06668906815258073,0.24947823142277462,0.16775208822409032
ML1M-M20S10,2,grad_input_vapc,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.84,0.16,3.9523809523809526,0.07901496546609062,0.2718094122154826,0.1772252548375706
ML1M-M20S10,0,loo_base,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.84,0.16,3.892857142857143,0.06761051430588677,0.2753122793263499,0.24439040893021172
ML1M-M20S10,1,loo_base,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.81,0.19,3.123456790123457,0.05225199019467389,0.29326986491478263,0.1893513564103404
ML1M-M20S10,2,loo_base,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.84,0.16,2.9642857142857144,0.05958476946467445,0.32913094036409435,0.23501618639428978
ML1M-M20S10,0,loo_vapc,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.84,0.16,4.821428571428571,0.08309182666596912,0.23101819510183697,0.20281025944689918
ML1M-M20S10,1,loo_vapc,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.81,0.19,4.037037037037037,0.06668906815258073,0.24947823142277462,0.16775208822409032
ML1M-M20S10,2,loo_vapc,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.84,0.16,3.9523809523809526,0.07901494204998016,0.2724614727266981,0.17657319432635515
ML1M-M20S10,0,lxr_base,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.61,0.39,4.098360655737705,0.05433738133946403,0.339066815899479,0.3346987856211162
ML1M-M20S10,1,lxr_base,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.61,0.39,4.770491803278689,0.05912178070818792,0.2853637305036438,0.27974222830955997
ML1M-M20S10,2,lxr_base,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.67,0.33,3.7761194029850746,0.05559101656301698,0.36701448598845976,0.3605701299347406
ML1M-M20S10,0,lxr_vapc,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.61,0.39,4.918032786885246,0.06440182787473084,0.3079059777365311,0.30285041007021873
ML1M-M20S10,1,lxr_vapc,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.61,0.39,5.557377049180328,0.06955851003771922,0.27180508611884063,0.2662622986083653
ML1M-M20S10,2,lxr_vapc,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.67,0.33,4.626865671641791,0.06791095235454503,0.3452724602077198,0.34404713693369177
ML1M-M20S10,0,mc_shapley_base,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.82,0.18,3.7804878048780486,0.06875577278253509,0.2776960062374582,0.2350562737188222
ML1M-M20S10,1,mc_shapley_base,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.81,0.19,3.185185185185185,0.05293782699255296,0.29553848202890587,0.18801410757292927
ML1M-M20S10,2,mc_shapley_base,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.84,0.16,3.0595238095238093,0.06001296994231996,0.3206967993744912,0.23809198188817715
ML1M-M20S10,0,mc_shapley_vapc,0.07036423841059603,0.17466887417218543,0.24503311258278146,0.03499919713986546,29.648052713743155,0.82,0.18,4.7073170731707314,0.08442931640438917,0.23091720811551505,0.1975026049452228
ML1M-M20S10,1,mc_shapley_vapc,0.05132450331125828,0.16556291390728478,0.2185430463576159,0.024028578968100334,29.733551929265843,0.81,0.19,4.111111111111111,0.06749769272627654,0.2458417236972919,0.16797203183943918
ML1M-M20S10,2,mc_shapley_vapc,0.06374172185430464,0.152317880794702,0.22350993377483444,0.0306395158012801,30.474838942199362,0.84,0.16,4.011904761904762,0.07871205324218386,0.2680866865202577,0.17768348685651741
