dataset,explainer,segment,users/seed,Validity,No-CF-found,CF-PCE,SPS,Hist Pop Median
ML1M-M20S10,grad_input_base,mainstream,49.0,0.8844 ± 0.0118,0.1156 ± 0.0118,0.3327 ± 0.0236,0.2776 ± 0.0406,0.9522
ML1M-M20S10,grad_input_base,niche,51.0,0.7778 ± 0.0453,0.2222 ± 0.0453,0.2616 ± 0.0327,0.1636 ± 0.0366,0.8821
ML1M-M20S10,grad_input_vapc,mainstream,49.0,0.8844 ± 0.0118,0.1156 ± 0.0118,0.2852 ± 0.0205,0.2317 ± 0.0227,0.9522
ML1M-M20S10,grad_input_vapc,niche,51.0,0.7778 ± 0.0453,0.2222 ± 0.0453,0.2125 ± 0.0263,0.1292 ± 0.0373,0.8821
ML1M-M20S10,loo_base,mainstream,49.0,0.8844 ± 0.0118,0.1156 ± 0.0118,0.3327 ± 0.0236,0.2776 ± 0.0406,0.9522
ML1M-M20S10,loo_base,niche,51.0,0.7778 ± 0.0453,0.2222 ± 0.0453,0.2628 ± 0.0322,0.1635 ± 0.0385,0.8821
ML1M-M20S10,loo_vapc,mainstream,49.0,0.8844 ± 0.0118,0.1156 ± 0.0118,0.2852 ± 0.0205,0.2317 ± 0.0227,0.9522
ML1M-M20S10,loo_vapc,niche,51.0,0.7778 ± 0.0453,0.2222 ± 0.0453,0.2130 ± 0.0270,0.1288 ± 0.0379,0.8821
ML1M-M20S10,lxr_base,mainstream,49.0,0.7007 ± 0.0773,0.2993 ± 0.0773,0.3490 ± 0.0553,0.3454 ± 0.0574,0.9522
ML1M-M20S10,lxr_base,niche,51.0,0.5621 ± 0.0630,0.4379 ± 0.0630,0.3123 ± 0.0461,0.3045 ± 0.0408,0.8821
ML1M-M20S10,lxr_vapc,mainstream,49.0,0.7007 ± 0.0773,0.2993 ± 0.0773,0.3244 ± 0.0379,0.3196 ± 0.0405,0.9522
ML1M-M20S10,lxr_vapc,niche,51.0,0.5621 ± 0.0630,0.4379 ± 0.0630,0.2905 ± 0.0398,0.2875 ± 0.0403,0.8821
ML1M-M20S10,mc_shapley_base,mainstream,49.0,0.8844 ± 0.0118,0.1156 ± 0.0118,0.3363 ± 0.0222,0.2837 ± 0.0511,0.9522
ML1M-M20S10,mc_shapley_base,niche,51.0,0.7647 ± 0.0392,0.2353 ± 0.0392,0.2556 ± 0.0247,0.1509 ± 0.0304,0.8821
ML1M-M20S10,mc_shapley_vapc,mainstream,49.0,0.8844 ± 0.0118,0.1156 ± 0.0118,0.2802 ± 0.0185,0.2343 ± 0.0127,0.9522
ML1M-M20S10,mc_shapley_vapc,niche,51.0,0.7647 ± 0.0392,0.2353 ± 0.0392,0.2124 ± 0.0249,0.1220 ± 0.0335,0.8821
